entry_dt,exit_dt,side,entry_px,exit_px,pnl,bars,entry_adx,entry_atr,regime,exit_reason
2025-01-10 11:15:00,2025-01-10 11:20:00,SHORT,94857.88761571316,94857.88761571316,-19.12585077278978,,26.12079482388281,125.82933026504674,1,EXIT_SHORT
2025-01-10 17:50:00,2025-01-10 17:55:00,LONG,95022.10046957753,95424.74276122387,1.145682408977267,1.0,18.913567635964014,413.90249793883186,1,TP
2025-01-10 17:55:00,2025-01-10 18:00:00,SHORT,95424.74276122387,95424.74276122387,-44.73950939707258,,21.065972320261842,415.9844623717727,1,EXIT_SHORT
2025-01-10 19:05:00,2025-01-10 20:40:00,SHORT,94454.05104983019,94454.05104983019,-34.96242592604157,,16.465820175953315,258.1280256902582,1,EXIT_SHORT
2025-01-11 00:20:00,2025-01-11 06:05:00,SHORT,94395.38318926959,94395.38318926959,-16.35348005191622,,19.416669548429514,84.42684666438197,2,EXIT_SHORT
2025-01-13 00:25:00,2025-01-13 15:05:00,SHORT,95574.28362146084,95574.28362146084,307.34335080479036,,22.823978995207177,532.2403400392928,0,EXIT_SHORT
2025-01-14 07:35:00,2025-01-14 07:40:00,LONG,94991.78000000001,94843.19907064781,-1.8695561989349687,1.0,12.536050905059215,97.25938483707336,1,SL
2025-01-14 07:40:00,2025-01-14 07:45:00,SHORT,94843.19907064781,94843.19907064781,-16.119012576204323,,12.475911275771304,95.42085734871127,1,EXIT_SHORT
2025-01-14 08:10:00,2025-01-14 08:15:00,SHORT,95288.9418587044,95288.9418587044,-38.378425630697166,,18.896426224146428,138.73330717436963,1,EXIT_SHORT
2025-01-14 09:20:00,2025-01-14 09:30:00,SHORT,96299.06916733597,96299.06916733597,-29.777053212748434,,43.08956312786575,186.7645078516802,1,EXIT_SHORT
2025-01-14 12:05:00,2025-01-14 12:15:00,LONG,96491.39,96241.40247782807,-2.3840590523549494,2.0,23.32549581198333,161.01990220087234,1,SL
2025-01-14 12:15:00,2025-01-14 12:20:00,SHORT,96241.40247782807,96241.40247782807,-17.02379279758415,,23.120975598833343,170.16848061509512,1,EXIT_SHORT
2025-01-14 13:30:00,2025-01-14 13:35:00,SHORT,96991.36504434387,96991.36504434387,-1.8056016796370091,,25.492261668285142,246.7701010820912,1,EXIT_SHORT
2025-01-14 16:00:00,2025-01-14 16:15:00,SHORT,95669.0048210431,95669.0048210431,-48.38507991200717,,21.40720833823071,355.33545352627203,1,EXIT_SHORT
2025-01-14 16:40:00,2025-01-14 16:45:00,SHORT,95445.14349814986,95445.14349814986,-15.978879407199017,,21.17091117800151,349.4947449005739,1,EXIT_SHORT
2025-01-14 18:35:00,2025-01-14 19:35:00,LONG,96773.59279673024,97045.81300370026,0.4178033662106351,12.0,27.581928632716735,213.74144651994973,1,TP
2025-01-14 19:35:00,2025-01-14 19:40:00,SHORT,97045.81300370026,97045.81300370026,-9.382140808220488,,27.437851652806128,210.5263431970959,1,EXIT_SHORT
2025-01-14 20:00:00,2025-01-14 20:05:00,SHORT,96381.67348095088,96381.67348095088,-4.586652005241556,,25.659151202228937,229.65951224690474,1,EXIT_SHORT
2025-01-15 04:00:00,2025-01-15 06:05:00,SHORT,97557.43142828897,97557.43142828897,26.310696196623354,,14.804349810791745,123.24297927836506,2,EXIT_SHORT
2025-01-15 13:20:00,2025-01-15 13:30:00,LONG,97241.98224256816,97670.51886709023,1.2407723574472815,2.0,37.75098403454698,231.43304344256677,1,TP
2025-01-15 13:30:00,2025-01-15 13:35:00,SHORT,97670.51886709023,97670.51886709023,-85.46128947469514,,40.7678714774511,254.0385403395255,1,EXIT_SHORT
2025-01-15 15:00:00,2025-01-15 15:55:00,LONG,99563.38171806338,99089.25793303405,-3.4686239386566458,11.0,45.88345292133685,314.86614424377683,1,SL
2025-01-15 15:55:00,2025-01-15 16:00:00,SHORT,99089.25793303405,99089.25793303405,-7.691415703280856,,44.09510163541706,317.91713394065005,1,EXIT_SHORT
2025-01-15 19:35:00,2025-01-15 20:05:00,LONG,99662.41443056476,100175.8614522155,1.6076200474530489,6.0,31.20760757234862,219.75790876697332,1,
2025-01-15 20:05:00,2025-01-15 20:20:00,SHORT,100511.62928812204,100511.62928812204,-31.461032597299386,,39.23702302846348,230.7448926971721,1,EXIT_SHORT
2025-01-16 03:35:00,2025-01-16 06:05:00,SHORT,99405.6909197394,99405.6909197394,-16.61118610873776,,21.697966181620743,92.73639149005658,1,EXIT_SHORT
2025-01-16 08:40:00,2025-01-16 08:45:00,LONG,99436.8,99052.08,-2.9720248017751696,1.0,34.26284073962725,147.19494728292725,1,SL
2025-01-16 08:45:00,2025-01-16 08:50:00,SHORT,99052.08,99052.08,5.73344801899014,,37.18719737285755,154.2103081912898,1,EXIT_SHORT
2025-01-16 16:30:00,2025-01-16 16:35:00,SHORT,99828.63906045254,99828.63906045254,-3.793373799976189,,24.279736123781575,351.61072151973394,0,EXIT_SHORT
2025-01-16 21:35:00,2025-01-16 22:20:00,LONG,99946.65,99638.30905201612,-2.5748651783620344,9.0,17.65050172461626,192.33440952568014,1,SL
2025-01-16 22:20:00,2025-01-16 22:25:00,SHORT,99638.30905201612,99638.30905201612,-15.484439275410095,,18.143433375972595,184.12123741670237,1,EXIT_SHORT
2025-01-17 01:35:00,2025-01-17 06:05:00,SHORT,100563.33189596773,100563.33189596773,-84.52061721404058,,28.248069282768306,148.51979032686484,1,EXIT_SHORT
2025-01-17 07:10:00,2025-01-17 07:55:00,LONG,101588.66789588257,101416.70280002341,-1.8496475195437105,9.0,20.140895886308705,128.79333550707403,1,SL
2025-01-17 07:55:00,2025-01-17 08:00:00,SHORT,101416.70280002341,101416.70280002341,-16.5576511733396,,20.200089897712903,130.10595439942577,1,EXIT_SHORT
2025-01-17 08:30:00,2025-01-17 08:35:00,SHORT,101932.59808760087,101932.59808760087,-24.63364789907579,,29.407405830104764,137.808721110188,1,EXIT_SHORT
2025-01-17 10:30:00,2025-01-17 11:00:00,LONG,102338.78421967676,102116.3678980251,-2.0865538789604337,6.0,27.983376444603454,149.2866713624067,1,SL
2025-01-17 11:00:00,2025-01-17 11:05:00,SHORT,102116.3678980251,102116.3678980251,-18.554380484616804,,26.794366100805867,147.00619483652056,1,EXIT_SHORT
2025-01-17 12:10:00,2025-01-17 12:40:00,LONG,102555.44079665672,102783.61686298008,0.11066752594317553,6.0,23.71581444021008,137.26684396494898,1,TP
2025-01-17 12:40:00,2025-01-17 12:50:00,SHORT,102836.16016932491,102836.16016932491,-48.03549421176281,,26.808167475225392,147.8515644391643,1,EXIT_SHORT
2025-01-17 14:30:00,2025-01-17 14:40:00,SHORT,102495.09908168262,102495.09908168262,-80.23737347803444,,17.698638655379924,261.87315854101246,1,EXIT_SHORT
2025-01-17 15:00:00,2025-01-17 15:05:00,SHORT,103593.98516666221,103593.98516666221,-16.111856761637025,,19.225527516837605,317.8086670252136,1,EXIT_SHORT
